title,year,doi,citations,abstract,concepts,authors,references,open_access,source,grants,stylometry_score,citation_percentile,norm_citations,norm_stylometry,importance_score
Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2018,https://doi.org/10.3322/caac.21492,76017,"Abstract This article provides a status report on the global burden of cancer worldwide using the GLOBOCAN 2018 estimates of cancer incidence and mortality produced by the International Agency for Research on Cancer, with a focus on geographic variability across 20 world regions. There will be an estimated 18.1 million new cancer cases (17.0 million excluding nonmelanoma skin cancer) and 9.6 million cancer deaths (9.5 million excluding nonmelanoma skin cancer) in 2018. In both sexes combined, lung cancer is the most commonly diagnosed cancer (11.6% of the total cases) and the leading cause of cancer death (18.4% of the total cancer deaths), closely followed by female breast cancer (11.6%), prostate cancer (7.1%), and colorectal cancer (6.1%) for incidence and colorectal cancer (9.2%), stomach cancer (8.2%), and liver cancer (8.2%) for mortality. Lung cancer is the most frequent cancer and the leading cause of cancer death among males, followed by prostate and colorectal cancer (for incidence) and liver and stomach cancer (for mortality). Among females, breast cancer is the most commonly diagnosed cancer and the leading cause of cancer death, followed by colorectal and lung cancer (for incidence), and vice versa (for mortality); cervical cancer ranks fourth for both incidence and mortality. The most frequently diagnosed cancer and the leading cause of cancer death, however, substantially vary across countries and within each country depending on the degree of economic development and associated social and life style factors. It is noteworthy that high‐quality cancer registry data, the basis for planning and implementing evidence‐based cancer control programs, are not available in most low‐ and middle‐income countries. The Global Initiative for Cancer Registry Development is an international partnership that supports better estimation, as well as the collection and use of local data, to prioritize and evaluate national cancer control efforts. CA: A Cancer Journal for ","['Cancer', 'Colorectal cancer', 'Medicine', 'Skin cancer', 'Breast cancer', 'Prostate cancer', 'Lung cancer', 'Liver cancer', 'Stomach cancer', 'Causes of cancer', 'Incidence (geometry)', 'Cancer registry', 'Cause of death', 'Epidemiology of cancer', 'Mortality rate', 'Oncology', 'Internal medicine', 'Disease', 'Physics', 'Optics']","['Freddie Bray', 'Jacques Ferlay', 'Isabelle Soerjomataram', 'Rebecca L. Siegel', 'Lindsey A. Torre', 'Ahmedin Jemal']",69,True,CA A Cancer Journal for Clinicians,[],0,100.0,1.0,0.0,0.7
Gender Attribution: Tracing Stylometric Evidence Beyond Topic and Genre,2011,,106,"Sociolinguistic theories (e.g., Lakoff (1973)) postulate that women's language styles differ from that of men. In this paper, we explore statistical techniques that can learn to identify the gender of authors in modern English text, such as web blogs and scientific papers. Although recent work has shown the efficacy of statistical approaches to gender attribution, we conjecture that the reported performance might be overly optimistic due to non-stylistic factors such as topic bias in gender that can make the gender detection task easier. Our work is the first that consciously avoids gender bias in topics, thereby providing stronger evidence to gender-specific styles in language beyond topic. In addition, our comparative study provides new insights into robustness of various stylometric techniques across topic and genre.","['Stylometry', 'Authorship attribution', 'Attribution', 'Computer science', 'Gender bias', 'Robustness (evolution)', 'Tracing', 'Task (project management)', 'Natural language processing', 'Artificial intelligence', 'Data science', 'Psychology', 'Social psychology', 'Biochemistry', 'Chemistry', 'Management', 'Economics', 'Gene', 'Operating system']","['Ruchita Sarawgi', 'Kailash Gajulapalli', 'Yejin Choi']",21,False,Conference on Computational Natural Language Learning,[],3,93.26720375965088,0.001394424931265375,1.0,0.30097609745188575
Visual stylometry using background selection and wavelet-HMT-based Fisher information distances for attribution and dating of impressionist paintings,2012,https://doi.org/10.1016/j.sigpro.2012.09.025,22,,"['Stylometry', 'Painting', 'Metric (unit)', 'Representation (politics)', 'Style (visual arts)', 'Artificial intelligence', 'Computer science', 'Pattern recognition (psychology)', 'Natural language processing', 'Art', 'Visual arts', 'Operations management', 'Politics', 'Political science', 'Law', 'Economics']","['Hanchao Qi', 'Armeen Taeb', 'Shannon M. Hughes']",33,False,Signal Processing,[],3,72.15944947969118,0.00028940894799847405,1.0,0.3002025862635989
"Robert Musil, a war journal, and stylometry: Tackling the issue of short texts in authorship attribution",2018,https://doi.org/10.1093/llc/fqy055,20,"Abstract During World War I (WWI), between 1916 and 1917, Robert Musil was the chief editor of the Tiroler Soldaten-Zeitung in Bozen. This activity probably also involved authorship of articles and has posed a philological problem to scholars, who have not been able to attribute with certainty a range of relatively short texts to Musil. With this article, we present a new approach that combines philological research with stylometric methods. Exploration of WWI archives and digitization of historical documents were paired with application of authorship attribution techniques, following extensive evaluation. To build the training set, we adapted the ‘impostors method’ by grouping three ‘distractor authors’ (similar to Musil in terms of style) and three actual candidates for authorship. In the test set, we developed two designs for tackling the issue of text length: a combinatory design, where longer chunks were composed by the juxtaposition of short texts; a simplified design, where the texts for attribution were merged with already attributed texts. Results of our experiment suggest that Musil attribution may be disproved with a high level of confidence for ten texts that were more probably written by a less well-known author, Albert Ritter. We carried out a keyness analysis on the specific words preferred or avoided by the two authors, which not only corroborated the results of the quantitative analysis but also findings from Musil philology. Our study showcases the potentialities of using mixed methods in stylometry.","['Stylometry', 'Authorship attribution', 'Philology', 'Style (visual arts)', 'Attribution', 'Set (abstract data type)', 'Certainty', 'Computer science', 'Literature', 'History', 'Art', 'Artificial intelligence', 'Epistemology', 'Philosophy', 'Psychology', 'Political science', 'Law', 'Feminism', 'Social psychology', 'Programming language']","['Simone Rebora', 'J. Berenike Herrmann', 'Gerhard Lauer', 'Massimo Salgaro']",50,False,Digital Scholarship in the Humanities,[],3,70.51090970124203,0.00026309904363497637,1.0,0.3001841693305445
The Effectiveness of Stemming in the Stylometric Authorship Attribution in Arabic,2020,https://doi.org/10.14569/ijacsa.2020.0110114,20,"The recent years have witnessed the development of numerous approaches to authorship attribution including statistical and linguistic methods. Stylometric authorship attribution, however, remains among the most widely used due to its accuracy and effectiveness. Nevertheless, many authorship problems remain unresolved in terms of Arabic. This can be attributed to different factors including linguistic peculiarities that are not usually considered in standard authorship systems. In the case of Arabic, the morphological features carry unique stylistic features that can be usefully used in testing authorship in controversial texts and writings. The hypothesis is that much of these morphological features are lost due to the execution of stemming. As such, this study is concerned with investigating the effectiveness of stemming in the stylometric applications to authorship attribution in Arabic. In so doing, three Arabic stemmers GOLD stemmer, Khoga stemmer, Light 10 stemmer are used. By way of illustration, a corpus of 2400 news articles written by different 97 authors is designed. To evaluate the effectiveness of stemming, the selected articles (both stemmed and unstemmed texts) are clustered using cluster analysis methods. Comparisons are made between clustering structures based on stemmed and unstemmed datasets. The results indicate that stemming has negative impacts on the accuracy of the clustering performance and thus on the reliability of stylometric authorship testing in Arabic. The peculiar stylistic features of the affixation processes in Arabic can, thus, be usefully used for improving the performance of authorship attribution applications in Arabic. It can be finally concluded that stemming is not effective in the stylometric authorship applications in Arabic.","['Authorship attribution', 'Computer science', 'Stylometry', 'Natural language processing', 'Arabic', 'Artificial intelligence', 'Cluster analysis', 'Attribution', 'Linguistics', 'Information retrieval', 'Psychology', 'Philosophy', 'Social psychology']","['Abdulfattah Omar', 'Wafya Ibrahim']",33,True,International Journal of Advanced Computer Science and Applications,[],3,70.51090970124203,0.00026309904363497637,1.0,0.3001841693305445
$CAG$ : Stylometric Authorship Attribution of Multi-Author Documents Using a Co-Authorship Graph,2020,https://doi.org/10.1109/access.2020.2967449,19,"Stylometry has been successfully applied to perform authorship identification of single-author documents (AISD). The AISD task is concerned with identifying the original author of an anonymous document from a group of candidate authors. However, AISD techniques are not applicable to the authorship identification of multi-author documents (AIMD). Unlike AISD, where each document is written by one single author, AIMD focuses on handling multi-author documents. Due to the combinatoric nature of documents, AIMD lacks the ground truth information-that is, information on writing and non-writing authors in a multi-author document-which makes this problem more challenging to solve. Previous AIMD solutions have a number of limitations: (i) the best stylometry-based AIMD solution has a low accuracy, less than 30%; (ii) increasing the number of co-authors of papers adversely affects the performance of AIMD solutions; and (iii) AIMD solutions were not designed to handle the non-writing authors (NWAs). However, NWAs exist in real-world cases-that is, there are papers for which not every co-author listed has contributed as a writer. This paper proposes an AIMD framework called the Co-Authorship Graph that can be used to (i) capture the stylistic information of each author in a corpus of multi-author documents and (ii) make a multi-label prediction for a multi-author query document. We conducted extensive experimental studies on one synthetic and three real-world corpora. Experimental results show that our proposed framework (i) significantly outperformed competitive techniques; (ii) can effectively handle a larger number of co-authors in comparison with competitive techniques; and (iii) can effectively handle NWAs in multi-author documents.","['Stylometry', 'Authorship attribution', 'Computer science', 'Information retrieval', 'Identification (biology)', 'Task (project management)', 'Graph', 'Natural language processing', 'Data mining', 'Theoretical computer science', 'Botany', 'Management', 'Economics', 'Biology']","['Raheem Sarwar', 'Norawit Urailertprasert', 'Nattapol Vannaboot', 'Chenyun Yu', 'Thanawin Rakthanmanon', 'Ekapol Chuangsuwanich', 'Sarana Nutanong']",55,True,IEEE Access,['Thailand Research Fund'],3,69.6455186304129,0.0002499440914532276,1.0,0.30017496086401724
A stylometric analysis on Bengali literature for authorship attribution,2017,https://doi.org/10.1109/iccitechn.2017.8281768,18,This paper explores the authorship attribution problem in modern Bengali literature. By scrutinizing the writings of six Bangladeshi columnists of current time using some established and modified stylometric features the writing patterns of these writers have been observed. With statistical analysis on a corpus containing around seven hundred articles the most effective style markers that can create a significant difference among authors were identified. Based on these features a classification model and a voting system were developed to identify the original author of an unknown document. The developed voting system achieved 90.67% accuracy rate on a test corpus of three hundred articles.,"['Authorship attribution', 'Bengali', 'Stylometry', 'Voting', 'Computer science', 'Natural language processing', 'Attribution', 'Style (visual arts)', 'Artificial intelligence', 'Writing style', 'Statistical analysis', 'Information retrieval', 'Linguistics', 'Psychology', 'Literature', 'Statistics', 'Mathematics', 'Art', 'Political science', 'Social psychology', 'Philosophy', 'Politics', 'Law']","['M. Tahmid Hossain', 'Md. Moshiur Rahman', 'Sabir Ismail', 'Md. Saiful Islam']",22,False,,[],3,68.74958039610608,0.00023678913927147876,1.0,0.30016575239749005
Stylometry and Authorship Attribution: Introduction to the Special Issue,2012,https://doi.org/10.1080/0013838x.2012.668788,11,Click to increase image sizeClick to decrease image size Acknowledgements The present research has been funded by the Spanish Ministry of Science and Innovation (grant numbers FFI2008-02336 and FFI2011-26492) and by the Autonomous Government of Andalusia (grant numbers P07-HUM02609 and P11-HUM7597). These grants are hereby gratefully acknowledged.,"['Stylometry', 'Christian ministry', 'Authorship attribution', 'Government (linguistics)', 'Attribution', 'Political science', 'Library science', 'Computer science', 'Psychology', 'Linguistics', 'Philosophy', 'Artificial intelligence', 'Law', 'Social psychology']","['Javier Calle Martín', 'Antonio Miranda-García']",11,False,English Studies,[],3,60.71869754951326,0.00014470447399923703,1.0,0.30010129313179945
Dropping down the Maximum Item Set: Improving the Stylometric Authorship Attribution Algorithm in the Text Mining for Authorship Investigation,2010,https://doi.org/10.3844/jcssp.2010.235.243,6,"Problem statement: Stylometric authorship attribution is an approach concerned about analyzing texts in text mining, e.g., novels and plays that famous authors wrote, trying to measure the authors style, by choosing some attributes that shows the author style of writing, assuming that these writers have a special way of writing that no other writer has; thus, authorship attribution is the task of identifying the author of a given text. In this study, we propose an authorship attribution algorithm, improving the accuracy of Stylometric features of different professionals so it can be discriminated nearly as well as fingerprints of different persons using authorship attributes. Approach: The main target in this study is to build an algorithm supports a decision making systems enables users to predict and choose the right author for a specific anonymous author's novel under consideration, by using a learning procedure to teach the system the Stylometric map of the author and behave as an expert opinion. The Stylometric Authorship Attribution (AA) usually depends on the frequent word as the best attribute that could be used, many studies strived for other beneficiary attributes, still the frequent word is ahead of other attributes that gives better results in the researches and experiments and still the best parameter and technique that's been used till now is the counting of the bag-of-word with the maximum item set. Results: To improve the techniques of the AA, we need to use new pack of attributes with a new measurement tool, the first pack of attributes we are using in this study is the (frequent pair) which means a pair of words that always appear together, this attribute clearly is not a new one, but it wasn't a successive attribute compared with the frequent word, using the maximum item set counters. the words pair made some mistakes as we see in the experiment results, improving the winnow algorithm by combining it with the computational approach, achieved by us","['Computer science', 'Authorship attribution', 'Attribution', 'Writing style', 'Stylometry', 'Set (abstract data type)', 'Task (project management)', 'Statement (logic)', 'Natural language processing', 'Artificial intelligence', 'Style (visual arts)', 'Information retrieval', 'Word (group theory)', 'Ranking (information retrieval)', 'Rank (graph theory)', 'Data mining', 'Linguistics', 'Psychology', 'Social psychology', 'Philosophy', 'Management', 'Archaeology', 'Economics', 'History', 'Programming language', 'Mathematics', 'Combinatorics']",['Mustafa'],9,True,Journal of Computer Science,[],3,51.676401477005705,7.892971309049292e-05,1.0,0.30005525079916334
Stylometric Authorship Attribution for the Middle Dutch Mystical Tradition from Groenendaal,2016,https://doi.org/10.1080/03096564.2016.1252077,5,"The well-known medieval Groenendaal monastery in Brabant has produced some of the finest examples of medieval Dutch literature, including Jan van Ruusbroec's œuvre, who together with Anne Frank, remains the most frequently translated Dutch author of all time. Authorship attribution nevertheless remains a serious scholarly concern when it comes to the corpus of mystical texts from Groenendaal: because of the general proximity of the Groenendaal authors, their œuvres can be difficult to delineate. In this paper, I apply a quantitative, style-based methodology for authorship attribution to a sizable corpus of Groenendaal authors. These computational techniques are borrowed from the innovative field of stylometry in the Digital Humanities. I will discuss how the experimental results obtained are able to confirm and complement many of the authorship-related hypotheses developed in traditional Middle Dutch studies. Additionally, this work aims to demonstrate the exciting scholarly potential of 'Distant Reading' for the study of the rich textual heritage from the medieval Low Countries.","['Stylometry', 'Authorship attribution', 'Mysticism', 'Attribution', 'Reading (process)', 'Style (visual arts)', 'Literature', 'Field (mathematics)', 'History', 'Epistemology', 'Linguistics', 'Art', 'Philosophy', 'Psychology', 'Social psychology', 'Mathematics', 'Pure mathematics']",['Mike Kestemont'],15,False,Dutch Crossing,[],3,49.10775427995972,6.577476090874409e-05,1.0,0.3000460423326361
